Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001387,Male,No,0,Not Graduate,,1820,0.0,,360.0,1.0,Rural,N
LP001541,Male,Yes,1,Not Graduate,Yes,3917,0.0,110.0,180.0,1.0,Semiurban,Y
LP002266,Male,Yes,2,Not Graduate,Yes,2889,0.0,45.0,300.0,1.0,Rural,Y
LP002348,Female,No,0,Graduate,No,7441,0.0,156.0,360.0,1.0,Rural,Y
LP001693,Female,No,0,Graduate,Yes,3244,0.0,80.0,360.0,1.0,Semiurban,Y
LP001131,Male,Yes,0,Not Graduate,No,4695,736.0,87.0,360.0,1.0,Semiurban,N
LP002137,Male,No,0,Graduate,No,7085,0.0,141.0,360.0,1.0,Urban,Y
LP002544,Male,Yes,1,Not Graduate,Yes,2600,1500.0,173.0,180.0,0.0,Rural,N
LP001935,Female,Yes,1,Graduate,Yes,4608,1803.0,150.0,360.0,1.0,Semiurban,Y
LP001492,Male,Yes,2,Graduate,Yes,5042,2083.0,185.0,360.0,1.0,Rural,N
LP002205,Male,Yes,0,Graduate,Yes,4817,923.0,120.0,360.0,1.0,Semiurban,Y
LP001926,Male,Yes,1,Graduate,Yes,2014,1842.0,96.0,360.0,1.0,Urban,Y
LP002543,Male,Yes,2,Graduate,Yes,4865,0.0,130.0,84.0,1.0,Semiurban,Y
LP002008,Female,No,0,Not Graduate,Yes,3400,0.0,112.0,360.0,1.0,Semiurban,Y
LP002723,Male,No,1,Not Graduate,No,5800,2167.0,211.0,360.0,1.0,Semiurban,N
LP002031,Female,No,3+,Not Graduate,,2165,0.0,255.0,360.0,1.0,Rural,N
LP002097,Female,Yes,0,Graduate,Yes,4333,1733.0,158.0,360.0,0.0,Semiurban,N
LP002941,Male,Yes,1,Not Graduate,Yes,5333,1625.0,186.0,360.0,1.0,Urban,N
LP002119,Male,No,0,Not Graduate,Yes,2717,0.0,66.0,300.0,,Urban,Y
LP002524,,Yes,3+,Graduate,Yes,2873,0.0,55.0,360.0,0.0,Urban,N
LP001922,Male,Yes,0,Not Graduate,No,2609,1911.0,104.0,360.0,1.0,Semiurban,Y
LP001186,Male,No,0,Graduate,Yes,3254,0.0,50.0,360.0,1.0,Urban,Y
LP001029,Male,No,0,Graduate,Yes,4166,3447.0,201.0,360.0,1.0,Rural,Y
LP002720,Male,Yes,1,Graduate,No,16667,2250.0,150.0,360.0,1.0,Semiurban,Y
LP002422,Male,No,2,Graduate,Yes,4354,0.0,166.0,360.0,1.0,Rural,N
LP001213,Male,Yes,3+,Graduate,No,5266,1774.0,187.0,360.0,1.0,Semiurban,Y
LP002912,Male,Yes,1,Graduate,Yes,4283,3000.0,201.0,84.0,,Urban,Y
LP001233,Male,Yes,1,Graduate,,2600,3500.0,113.0,360.0,,Urban,N
LP001073,Male,Yes,0,Graduate,Yes,2799,2900.0,90.0,360.0,1.0,Semiurban,Y
LP002305,Female,Yes,0,Not Graduate,Yes,3017,1640.0,150.0,360.0,0.0,Semiurban,N
LP002530,,Yes,2,Graduate,Yes,2873,461.0,70.0,360.0,0.0,Urban,N
LP001640,Male,Yes,0,Graduate,No,39147,2250.0,152.0,360.0,1.0,Semiurban,Y
LP002287,Male,No,3+,Not Graduate,Yes,4707,1993.0,130.0,360.0,1.0,Rural,Y
LP001562,Male,Yes,0,Graduate,Yes,2439,3333.0,172.0,360.0,1.0,Semiurban,Y
LP002277,Male,Yes,2,Not Graduate,Yes,1993,1456.0,60.0,180.0,1.0,Semiurban,Y
LP001146,Female,No,0,Graduate,Yes,4166,0.0,112.0,360.0,0.0,Semiurban,N
LP002086,Male,No,0,Graduate,Yes,2526,1851.0,115.0,360.0,1.0,Semiurban,Y
LP001947,Male,Yes,1,Graduate,Yes,9703,0.0,112.0,360.0,1.0,Urban,Y
LP001770,Male,Yes,1,Graduate,,4166,3369.0,172.0,360.0,,Urban,N
LP002541,Male,Yes,0,Graduate,Yes,2083,3150.0,128.0,360.0,1.0,Rural,Y
LP001228,Male,Yes,0,Not Graduate,Yes,1668,3890.0,152.0,360.0,1.0,Rural,Y
LP002119,Male,Yes,1,Graduate,No,5503,1210.0,187.0,300.0,1.0,Rural,N
LP002435,Male,Yes,1,Graduate,No,5818,0.0,138.0,300.0,1.0,Rural,N
LP002911,Male,Yes,1,Graduate,Yes,4283,2845.0,172.0,84.0,,Urban,Y
LP001385,Male,No,0,Not Graduate,,7333,0.0,120.0,360.0,1.0,Rural,N
LP001508,Male,Yes,1,Graduate,No,2395,2079.0,58.0,360.0,0.0,Urban,N
LP001578,Male,Yes,0,Graduate,Yes,4583,3166.0,,360.0,0.0,Semiurban,N
LP001250,Male,Yes,2,Not Graduate,No,2609,3449.0,165.0,360.0,0.0,Semiurban,N
LP002587,Male,Yes,0,Not Graduate,Yes,2653,1700.0,107.0,360.0,1.0,Rural,Y
LP002418,Male,No,0,Graduate,Yes,6500,0.0,133.0,360.0,1.0,Urban,Y
LP001940,Male,Yes,0,Graduate,Yes,2383,3334.0,129.0,360.0,1.0,Urban,Y
LP001900,Female,No,0,Graduate,No,4583,0.0,128.0,360.0,1.0,Semiurban,Y
LP001875,Female,No,1,Graduate,Yes,2876,0.0,80.0,360.0,1.0,Urban,Y
LP002757,Male,Yes,0,Graduate,Yes,2768,1950.0,155.0,360.0,1.0,Rural,Y
LP002689,Male,Yes,2,Graduate,No,7948,7166.0,380.0,360.0,1.0,Rural,Y
LP002547,Male,Yes,1,Graduate,Yes,18333,0.0,400.0,360.0,1.0,Urban,N
LP001931,Female,No,0,Graduate,Yes,5000,0.0,132.0,360.0,1.0,Semiurban,Y
LP002522,,Yes,0,Graduate,Yes,3583,2157.0,153.0,360.0,0.0,Semiurban,N
LP001535,Male,No,0,Graduate,Yes,3600,4750.0,176.0,360.0,1.0,Urban,N
LP001578,Male,Yes,0,Not Graduate,Yes,1863,1875.0,167.0,360.0,1.0,Urban,Y
LP001888,Male,No,1,Graduate,No,5166,4333.0,120.0,360.0,1.0,Rural,Y
LP002767,Male,Yes,2,Graduate,No,9963,0.0,155.0,360.0,1.0,Rural,N
LP001327,Female,No,0,Graduate,Yes,2400,0.0,,,1.0,Urban,Y
LP002434,Male,No,0,Graduate,Yes,3660,5064.0,187.0,360.0,1.0,Urban,N
LP002734,Male,Yes,0,Graduate,Yes,3597,2451.0,173.0,360.0,1.0,Rural,Y
LP002478,Male,Yes,0,Graduate,No,10000,4490.0,175.0,360.0,1.0,Semiurban,Y
LP001891,Female,No,0,Graduate,Yes,3237,0.0,80.0,360.0,1.0,Semiurban,Y
LP001119,Male,Yes,0,Graduate,Yes,2132,3796.0,120.0,360.0,1.0,Semiurban,Y
LP002097,Male,No,2,Graduate,Yes,9167,0.0,312.0,360.0,1.0,Semiurban,Y
LP002328,Female,Yes,1,Graduate,No,5818,0.0,143.0,300.0,1.0,Semiurban,Y
LP002741,Female,No,0,Graduate,Yes,2138,0.0,99.0,360.0,1.0,Rural,Y
LP001213,Female,No,0,Graduate,Yes,3510,2275.0,134.0,360.0,1.0,Rural,Y
LP001068,Male,Yes,0,Not Graduate,Yes,7660,0.0,104.0,360.0,1.0,Urban,Y
LP002640,Male,Yes,0,Graduate,Yes,4652,2250.0,,360.0,1.0,Rural,Y
LP002231,Female,No,0,Graduate,Yes,6000,1863.0,265.0,360.0,0.0,Urban,N
LP001844,Male,No,0,Graduate,No,16250,0.0,192.0,360.0,1.0,Rural,Y
LP001884,Female,No,0,Graduate,Yes,5000,0.0,103.0,360.0,1.0,Urban,Y
LP002888,Male,Yes,0,Graduate,Yes,3000,3416.0,131.0,360.0,1.0,Rural,Y
LP002116,Male,Yes,2,Not Graduate,Yes,3601,3136.0,90.0,360.0,1.0,Urban,Y
LP002178,Male,No,0,Graduate,Yes,5124,4232.0,151.0,360.0,0.0,Rural,N
LP002453,Male,No,0,Graduate,No,7167,0.0,128.0,360.0,1.0,Urban,Y
LP001116,Male,Yes,1,Graduate,Yes,3988,0.0,0.0,360.0,1.0,Semiurban,Y
LP002265,Female,No,0,Graduate,Yes,1500,3683.0,128.0,360.0,0.0,Semiurban,Y
LP002606,Male,Yes,0,Graduate,Yes,20833,6667.0,480.0,360.0,,Rural,Y
LP002335,Male,Yes,0,Graduate,Yes,5829,0.0,138.0,360.0,1.0,Urban,Y
LP002006,Male,Yes,3+,Not Graduate,Yes,2071,754.0,94.0,360.0,1.0,Rural,N
LP001131,Female,Yes,0,Graduate,Yes,7200,2667.0,110.0,360.0,1.0,Urban,N
LP001225,Male,Yes,1,Graduate,Yes,2214,2250.0,125.0,480.0,1.0,Urban,Y
LP002315,Male,No,3+,Not Graduate,Yes,3173,1993.0,111.0,360.0,1.0,Urban,Y
LP001497,Male,Yes,1,Graduate,No,10513,3022.0,160.0,180.0,0.0,Urban,N
LP001854,Male,Yes,0,Not Graduate,Yes,2583,2358.0,120.0,360.0,1.0,Semiurban,Y
LP002357,Female,No,0,Graduate,Yes,4547,0.0,112.0,360.0,1.0,Semiurban,Y
LP001421,Male,Yes,0,Graduate,Yes,5568,0.0,125.0,360.0,1.0,Rural,Y
LP001653,Male,Yes,0,Graduate,Yes,9323,0.0,75.0,360.0,1.0,Urban,Y
LP001032,Male,No,0,Graduate,Yes,3500,0.0,81.0,300.0,1.0,Semiurban,Y
LP002841,Male,Yes,0,Not Graduate,No,5800,1000.0,211.0,360.0,1.0,Rural,N
LP002484,Female,No,,Graduate,Yes,5417,0.0,105.0,180.0,1.0,Semiurban,Y
LP002720,Male,Yes,2,Graduate,Yes,8333,3600.0,253.0,180.0,1.0,Semiurban,Y
LP001387,Female,No,0,Graduate,Yes,3846,1459.0,,,1.0,Urban,Y
LP002139,Female,No,,Graduate,Yes,3813,0.0,112.0,480.0,0.0,Semiurban,N
LP002836,Female,No,0,Graduate,Yes,2378,0.0,,360.0,1.0,Semiurban,Y
LP001398,Male,No,0,Graduate,Yes,8566,0.0,118.0,360.0,1.0,Rural,Y
LP001469,Male,No,0,Graduate,No,5166,0.0,133.0,480.0,,Urban,Y
LP002144,Female,Yes,0,Graduate,Yes,4180,923.0,182.0,360.0,1.0,Semiurban,Y
LP001978,Male,Yes,0,Graduate,Yes,3704,800.0,97.0,360.0,1.0,Rural,Y
LP002347,Male,Yes,0,Graduate,Yes,1025,1719.0,100.0,360.0,1.0,Rural,Y
LP002983,Male,Yes,1,Graduate,Yes,1782,1917.0,115.0,360.0,1.0,Urban,Y
LP002478,,Yes,0,Graduate,Yes,2083,2134.0,115.0,360.0,0.0,Rural,N
LP002625,,No,3+,Graduate,No,51763,0.0,490.0,180.0,,Rural,N
LP002226,Male,Yes,0,Graduate,Yes,4817,923.0,151.0,180.0,1.0,Urban,Y
LP001013,Male,Yes,2,Not Graduate,Yes,3083,1040.0,80.0,360.0,1.0,Semiurban,Y
LP002151,Female,Yes,1,Graduate,No,5746,0.0,105.0,84.0,1.0,Semiurban,Y
LP001194,Male,No,0,Graduate,Yes,3600,0.0,113.0,360.0,1.0,Urban,N
LP002305,Male,No,0,Graduate,Yes,2500,20000.0,103.0,300.0,0.0,Urban,Y
LP002409,Male,Yes,2,Graduate,Yes,7250,1667.0,110.0,360.0,1.0,Urban,Y
LP002772,Female,Yes,1,Graduate,Yes,3326,913.0,130.0,84.0,,Semiurban,Y
LP002716,Male,No,1,Graduate,Yes,13262,4648.0,162.0,360.0,1.0,Semiurban,Y
LP001784,Male,Yes,1,Graduate,Yes,2882,4250.0,172.0,480.0,1.0,Urban,Y
LP001641,Male,Yes,0,Graduate,Yes,9328,0.0,188.0,180.0,1.0,Urban,Y
LP002296,Female,No,0,Not Graduate,Yes,1963,0.0,80.0,360.0,0.0,Urban,N
LP002408,Female,Yes,0,Graduate,Yes,4333,2451.0,140.0,360.0,0.0,Semiurban,N
LP002531,Male,No,0,Graduate,Yes,6000,0.0,140.0,360.0,1.0,Semiurban,Y
LP002112,Male,Yes,0,Graduate,No,10000,2160.0,180.0,360.0,1.0,Semiurban,Y
LP002714,Male,No,1,Not Graduate,Yes,2679,1668.0,173.0,360.0,1.0,Semiurban,Y
LP001195,Male,No,0,Graduate,Yes,1800,1213.0,100.0,360.0,1.0,Semiurban,Y
LP001008,Male,No,3+,Graduate,Yes,12500,3000.0,320.0,360.0,1.0,Rural,N
LP002948,Male,No,0,Graduate,Yes,3676,4301.0,180.0,480.0,1.0,Urban,N
LP002979,Male,Yes,1,Graduate,Yes,3400,1750.0,134.0,360.0,1.0,Urban,Y
LP001379,Male,Yes,0,Graduate,Yes,2130,1330.0,,360.0,1.0,Semiurban,Y
LP002863,Male,No,0,Graduate,Yes,2833,0.0,71.0,360.0,1.0,Urban,Y
LP002255,Male,Yes,0,Graduate,Yes,2333,1125.0,,360.0,1.0,Urban,Y
LP002364,Male,Yes,0,Graduate,Yes,3708,2569.0,142.0,360.0,1.0,Semiurban,Y
LP002945,Male,Yes,0,Graduate,Yes,3166,4266.0,180.0,360.0,,Urban,Y
LP002443,Male,Yes,0,Graduate,Yes,7333,8333.0,175.0,360.0,1.0,Urban,Y
LP002262,Male,Yes,0,Graduate,,3539,2500.0,173.0,360.0,,Semiurban,Y
LP001841,Male,Yes,1,Graduate,Yes,2708,1843.0,126.0,360.0,1.0,Rural,Y
LP002272,Male,Yes,2,Graduate,Yes,3276,484.0,108.0,360.0,1.0,Urban,Y
LP001835,Male,Yes,2,Not Graduate,No,4695,0.0,95.0,360.0,1.0,Rural,Y
LP002277,Male,Yes,0,Graduate,Yes,1820,2773.0,128.0,360.0,1.0,Rural,Y
LP001682,Male,No,0,Not Graduate,Yes,4885,0.0,94.0,360.0,0.0,Rural,N
LP001708,Male,Yes,,Not Graduate,Yes,1863,2436.0,93.0,360.0,1.0,Semiurban,Y
LP002407,Male,No,0,Graduate,Yes,3660,0.0,100.0,360.0,1.0,Urban,Y
LP002625,Male,Yes,0,Graduate,Yes,20833,6667.0,480.0,360.0,,Urban,Y
LP001578,Male,Yes,0,Graduate,Yes,6250,0.0,160.0,180.0,1.0,Rural,Y
LP002813,Male,Yes,1,Graduate,Yes,3875,1508.0,168.0,360.0,1.0,Urban,Y
LP001743,Male,No,0,Graduate,Yes,8333,3750.0,180.0,360.0,1.0,Semiurban,N
LP002473,Male,Yes,1,Not Graduate,Yes,2917,0.0,60.0,180.0,1.0,Urban,Y
LP002984,Male,Yes,1,Graduate,Yes,8072,0.0,152.0,360.0,1.0,Urban,Y
LP001864,Male,Yes,1,Graduate,Yes,4708,4250.0,110.0,360.0,,Urban,Y
LP002912,Male,Yes,2,Not Graduate,Yes,4200,663.0,194.0,360.0,1.0,Semiurban,Y
LP002863,Male,Yes,0,Graduate,Yes,5923,4583.0,120.0,360.0,0.0,Urban,N
LP002541,Male,Yes,0,Graduate,Yes,10833,0.0,234.0,360.0,1.0,Semiurban,Y
LP002958,Female,Yes,0,Graduate,No,11500,0.0,191.0,360.0,0.0,Rural,N
LP001431,Male,Yes,,Graduate,No,2577,0.0,66.0,120.0,1.0,Semiurban,Y
LP001870,Female,No,0,Graduate,No,2500,0.0,80.0,120.0,,Semiurban,Y
LP002087,Male,No,0,Not Graduate,No,2769,0.0,66.0,300.0,1.0,Rural,Y
LP001578,Male,Yes,0,Not Graduate,Yes,1863,1769.0,95.0,360.0,1.0,Urban,Y
LP001068,Male,Yes,2,Graduate,Yes,1299,1526.0,45.0,360.0,1.0,Semiurban,Y
LP001136,Female,No,0,Graduate,Yes,7200,0.0,120.0,360.0,0.0,Urban,N
LP002547,Male,No,0,Not Graduate,Yes,6216,2785.0,187.0,360.0,1.0,Rural,Y
LP001206,Male,Yes,0,Not Graduate,No,4695,0.0,115.0,,0.0,Urban,N
LP002855,Male,Yes,2,Not Graduate,Yes,7667,1430.0,110.0,480.0,0.0,Rural,N
LP001448,Female,No,2,Graduate,Yes,3617,0.0,0.0,360.0,0.0,Urban,N
LP002990,Female,No,0,Graduate,Yes,3244,1666.0,84.0,360.0,1.0,Urban,Y
LP001405,Male,No,0,Graduate,Yes,14999,0.0,242.0,360.0,0.0,Urban,N
LP002785,Male,No,0,Graduate,Yes,3229,2917.0,110.0,360.0,1.0,Rural,Y
LP001507,Male,Yes,2,Not Graduate,Yes,7667,1430.0,180.0,360.0,1.0,Semiurban,Y
LP001038,Male,Yes,0,Graduate,Yes,5726,2667.0,311.0,360.0,,Rural,Y
LP001109,Male,Yes,0,Graduate,No,3000,3750.0,172.0,360.0,1.0,Semiurban,N
LP002407,Female,Yes,0,Graduate,Yes,4333,2569.0,140.0,360.0,0.0,Semiurban,N
LP002401,Male,No,1,Graduate,Yes,4354,1793.0,158.0,36.0,,Rural,Y
LP001245,Male,Yes,2,Graduate,Yes,4006,1167.0,100.0,360.0,1.0,Urban,Y
LP002692,Female,No,1,Graduate,,12876,0.0,125.0,360.0,1.0,Urban,Y
LP001653,Male,Yes,0,Graduate,Yes,7933,0.0,275.0,360.0,1.0,Urban,Y
LP001003,Male,Yes,0,Graduate,Yes,3166,2064.0,120.0,360.0,0.0,Urban,N
LP002243,Female,No,0,Graduate,Yes,4547,0.0,112.0,360.0,1.0,Semiurban,Y
LP001387,Female,Yes,2,Graduate,Yes,1378,2035.0,88.0,360.0,1.0,Semiurban,Y
LP002158,Male,Yes,1,Graduate,Yes,16666,0.0,96.0,360.0,1.0,Rural,Y
LP002362,Male,Yes,2,Graduate,Yes,3859,0.0,124.0,360.0,0.0,Rural,Y
LP001197,Male,Yes,0,Graduate,Yes,3366,1667.0,186.0,360.0,1.0,Rural,Y
LP001367,Female,No,0,Graduate,Yes,2400,0.0,46.0,360.0,1.0,Urban,Y
LP001864,Male,Yes,0,Not Graduate,No,4695,0.0,115.0,360.0,1.0,Semiurban,Y
LP001743,Male,Yes,,Graduate,Yes,7933,0.0,228.0,360.0,1.0,Urban,Y
LP002144,Female,Yes,0,Not Graduate,Yes,210,2917.0,98.0,480.0,0.0,Semiurban,N
LP002362,Male,Yes,0,Graduate,Yes,1820,2773.0,114.0,360.0,1.0,Urban,N
LP002277,Male,Yes,2,Not Graduate,Yes,1993,1456.0,60.0,300.0,1.0,Rural,Y
LP001109,Male,Yes,0,Graduate,No,2577,3750.0,152.0,360.0,1.0,Urban,Y
LP001990,Male,No,0,Not Graduate,Yes,1442,0.0,35.0,360.0,1.0,Urban,N
LP001813,Male,Yes,1,Graduate,Yes,3153,0.0,170.0,360.0,1.0,Rural,N
LP002467,Male,No,1,Not Graduate,No,2769,1993.0,146.0,360.0,,Semiurban,N
LP002868,Male,Yes,1,Not Graduate,Yes,2492,1255.0,130.0,180.0,0.0,Semiurban,N
LP001891,Female,No,0,Graduate,No,2600,1717.0,99.0,300.0,,Semiurban,Y
LP001491,Male,Yes,2,Graduate,No,16525,1014.0,150.0,360.0,1.0,Rural,Y
LP001392,Female,No,0,Graduate,Yes,2400,0.0,46.0,,0.0,Semiurban,N
LP002112,Male,Yes,0,Graduate,,63337,0.0,490.0,360.0,1.0,Semiurban,Y
LP001334,Male,Yes,1,Graduate,Yes,3052,2004.0,104.0,360.0,1.0,Rural,Y
LP002543,Male,Yes,2,Graduate,Yes,4865,0.0,155.0,360.0,1.0,Semiurban,Y
LP002054,Male,Yes,2,Graduate,No,5503,0.0,130.0,360.0,1.0,Semiurban,Y
LP001155,Male,Yes,1,Graduate,Yes,2708,1260.0,80.0,360.0,1.0,Rural,N
LP001222,Male,No,0,Not Graduate,Yes,3200,1668.0,100.0,360.0,1.0,Urban,Y
LP002342,Male,Yes,0,Graduate,Yes,3246,1417.0,55.0,360.0,1.0,Semiurban,Y
LP001546,Male,No,1,Graduate,No,5166,0.0,106.0,360.0,0.0,Semiurban,N
LP002050,Male,Yes,0,Graduate,Yes,2400,1125.0,,360.0,,Semiurban,Y
LP002408,Male,No,0,Graduate,Yes,6500,0.0,133.0,360.0,1.0,Urban,Y
LP002776,Female,No,0,Graduate,Yes,5000,0.0,103.0,360.0,0.0,Urban,N
LP001197,Male,Yes,0,Graduate,Yes,2132,1591.0,96.0,360.0,1.0,Urban,Y
LP002455,Male,No,0,Not Graduate,Yes,2755,1542.0,190.0,360.0,1.0,Semiurban,Y
LP001998,Male,Yes,2,Graduate,No,5746,4600.0,176.0,360.0,1.0,Urban,N
LP002250,Male,Yes,3+,Not Graduate,Yes,2071,1587.0,60.0,360.0,1.0,Semiurban,Y
LP002494,Male,Yes,1,Graduate,No,16667,4750.0,138.0,360.0,1.0,Semiurban,Y
LP001870,Female,No,1,Graduate,Yes,3481,0.0,115.0,360.0,1.0,Semiurban,N
LP002004,Male,Yes,1,Graduate,No,8666,1210.0,253.0,360.0,1.0,Rural,Y
LP002690,Male,Yes,3+,Graduate,Yes,2666,0.0,59.0,360.0,1.0,Urban,Y
LP001552,Male,Yes,1,Not Graduate,Yes,2600,1911.0,104.0,180.0,1.0,Semiurban,Y
LP001013,Male,Yes,2,Graduate,Yes,4006,1526.0,168.0,360.0,1.0,Rural,Y
LP002364,Male,Yes,0,Graduate,Yes,2483,2340.0,136.0,360.0,1.0,Semiurban,Y
LP001698,Male,No,0,Graduate,Yes,2971,0.0,76.0,360.0,0.0,Semiurban,N
LP001936,Female,No,,Graduate,Yes,5417,0.0,105.0,180.0,0.0,Urban,N
LP001691,Female,No,0,Graduate,Yes,3244,1560.0,90.0,360.0,1.0,Urban,Y
LP001671,Female,Yes,0,Not Graduate,,1928,3237.0,98.0,360.0,1.0,Semiurban,Y
LP001195,Male,Yes,0,Graduate,Yes,2132,3796.0,160.0,360.0,1.0,Semiurban,Y
LP001814,Female,No,,Graduate,,2980,1666.0,84.0,360.0,1.0,Urban,Y
LP002131,Male,Yes,0,Graduate,,2583,0.0,98.0,300.0,,Semiurban,Y
LP002209,Female,Yes,1,Graduate,No,9323,0.0,155.0,180.0,1.0,Semiurban,Y
LP002031,Male,No,0,Graduate,No,10416,0.0,187.0,360.0,1.0,Semiurban,Y
LP002586,Male,No,0,Not Graduate,Yes,3358,2785.0,120.0,360.0,1.0,Semiurban,Y
LP001603,Male,Yes,3+,Not Graduate,No,5703,0.0,144.0,360.0,1.0,Rural,N
LP002379,Male,No,0,Graduate,Yes,3660,0.0,113.0,360.0,0.0,Rural,Y
LP002008,Female,No,0,Graduate,Yes,3166,0.0,100.0,360.0,1.0,Semiurban,Y
LP002362,Male,No,0,Not Graduate,Yes,2755,1993.0,155.0,360.0,1.0,Rural,Y
LP001213,Male,Yes,3+,Not Graduate,Yes,4931,0.0,95.0,360.0,1.0,Semiurban,Y
LP002357,Female,No,0,Graduate,Yes,4547,0.0,115.0,360.0,1.0,Semiurban,Y
LP001541,Male,Yes,1,Graduate,Yes,6400,1695.0,187.0,360.0,,Urban,Y
LP001073,Male,Yes,0,Graduate,Yes,2799,2900.0,90.0,360.0,1.0,Semiurban,Y
LP001387,Male,No,0,Graduate,Yes,5316,0.0,136.0,360.0,1.0,Semiurban,Y
LP001106,Male,Yes,0,Graduate,No,39147,4750.0,120.0,360.0,1.0,Semiurban,Y
LP002272,Female,No,0,Graduate,Yes,4547,1459.0,128.0,360.0,1.0,Semiurban,Y
LP001098,Male,No,0,Graduate,Yes,3750,4750.0,187.0,360.0,1.0,Urban,Y
LP002335,Male,Yes,1,Graduate,No,5818,1210.0,184.0,300.0,0.0,Urban,N
LP001529,Male,Yes,0,Graduate,No,2577,0.0,66.0,360.0,1.0,Rural,Y
LP001018,Male,No,3+,Graduate,Yes,3083,0.0,113.0,360.0,0.0,Semiurban,N
LP001029,Male,No,0,Not Graduate,Yes,3748,0.0,80.0,360.0,1.0,Semiurban,Y
LP002266,Male,Yes,2,Graduate,Yes,3276,1400.0,113.0,360.0,1.0,Rural,Y
LP001508,Male,Yes,2,Graduate,Yes,11417,0.0,196.0,180.0,1.0,Urban,Y
LP002211,Female,Yes,0,Graduate,Yes,4180,0.0,130.0,360.0,0.0,Rural,N
LP002855,Male,Yes,0,Not Graduate,Yes,3000,663.0,102.0,480.0,0.0,Urban,N
LP001666,Male,No,2,Graduate,Yes,3617,0.0,107.0,360.0,1.0,Semiurban,Y
LP002390,Male,No,1,Graduate,Yes,4354,1793.0,158.0,360.0,1.0,Rural,Y
LP002524,Female,Yes,2,Not Graduate,Yes,3017,5302.0,120.0,360.0,1.0,Semiurban,Y
LP001002,Male,Yes,0,Not Graduate,Yes,6096,0.0,218.0,360.0,1.0,Rural,N
LP002741,Female,Yes,1,Graduate,Yes,3326,3250.0,173.0,84.0,,Semiurban,Y
LP001924,Male,Yes,0,Graduate,Yes,9328,0.0,112.0,360.0,1.0,Urban,Y
LP001870,Female,No,1,Graduate,Yes,2876,0.0,80.0,360.0,1.0,Rural,Y
LP002714,Male,Yes,1,Not Graduate,Yes,4050,3263.0,131.0,180.0,1.0,Rural,N
LP001529,Male,Yes,0,Graduate,No,3459,0.0,66.0,360.0,1.0,Rural,Y
LP001931,Male,Yes,2,Not Graduate,Yes,4931,0.0,95.0,360.0,1.0,Urban,Y
LP001653,Male,Yes,0,Graduate,Yes,3173,2138.0,153.0,360.0,1.0,Urban,Y
LP002874,Male,Yes,2,Graduate,Yes,3159,461.0,108.0,360.0,1.0,Urban,Y
LP001319,Male,Yes,2,Graduate,No,7948,3500.0,110.0,360.0,1.0,Rural,Y
LP001043,Male,Yes,0,Graduate,Yes,2275,2034.0,58.0,180.0,1.0,Urban,Y
LP001248,Male,Yes,0,Graduate,Yes,2500,3440.0,160.0,360.0,1.0,Rural,Y
LP001682,Male,Yes,3+,Not Graduate,Yes,3992,0.0,50.0,480.0,1.0,Semiurban,Y
LP002024,Male,Yes,1,Not Graduate,Yes,4554,1229.0,117.0,360.0,1.0,Rural,N
LP001519,Female,No,0,Graduate,Yes,10000,8980.0,120.0,360.0,0.0,Urban,N
LP001751,Male,Yes,1,Graduate,Yes,6250,1695.0,210.0,360.0,,Rural,N
LP002587,Male,Yes,0,Graduate,Yes,6133,2054.0,182.0,360.0,1.0,Urban,Y
LP002434,Male,Yes,0,Graduate,Yes,1820,2773.0,128.0,360.0,1.0,Semiurban,Y
LP002281,Female,No,0,Graduate,Yes,3180,0.0,95.0,360.0,0.0,Semiurban,N
LP001931,Male,Yes,2,Graduate,Yes,9703,1126.0,112.0,360.0,1.0,Urban,Y
LP002478,,Yes,0,Graduate,Yes,2473,2458.0,90.0,360.0,1.0,Rural,N
LP002211,Male,Yes,2,Not Graduate,Yes,3601,1666.0,0.0,360.0,1.0,Urban,Y
LP001574,Male,Yes,0,Graduate,Yes,2439,3333.0,129.0,360.0,1.0,Rural,Y
LP001030,Male,No,0,Graduate,Yes,4950,0.0,118.0,360.0,1.0,Urban,Y
LP001900,Male,No,0,Graduate,No,6400,4333.0,120.0,300.0,1.0,Urban,N
LP002739,Female,No,0,Graduate,Yes,2667,0.0,100.0,360.0,1.0,Rural,Y
LP001907,Male,Yes,2,Not Graduate,Yes,4931,0.0,128.0,360.0,1.0,Semiurban,Y
LP001038,Male,Yes,0,Graduate,Yes,5726,2569.0,184.0,360.0,1.0,Semiurban,Y
LP001768,Male,Yes,0,Graduate,Yes,5708,0.0,44.0,180.0,1.0,Semiurban,Y
LP002734,Male,Yes,1,Graduate,No,3450,0.0,,360.0,0.0,Semiurban,N
LP002990,Female,No,0,Graduate,Yes,3244,1666.0,84.0,360.0,1.0,Semiurban,Y
LP001018,Male,No,3+,Graduate,Yes,12500,3000.0,320.0,360.0,0.0,Urban,N
LP002467,Male,Yes,0,Graduate,Yes,2425,2466.0,160.0,360.0,1.0,Urban,N
LP001275,Male,No,0,Graduate,Yes,4843,0.0,94.0,360.0,1.0,Urban,Y
LP002315,Male,Yes,2,Graduate,Yes,4566,0.0,100.0,360.0,1.0,Semiurban,Y
